APOCAL'IPSSI - ARTEFACT 6/7 - Product Backlog - EduTutor IA - Équipe-19 - v1.0 - Remis le 29/06/2026 12h55
"20 user stories organisées en 6 epics · critères INVEST · priorité MoSCoW",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"Équipe 19 : Mathieu PONNOU · Ndiasse MBEGUERE · Ismael CEREZO · Philippe MAILLOT · Aboubacar COUMARE · Milane MEHALEBI · Rédacteur : Aboubacar COUMARE",,,,,,,,,,,,,,
"Projet EduTutor IA · Édition 2026 · Semaine immersive Scrum",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"ID","EPIC","TITRE","USER STORY (format As a… I want… So that…)","INVEST : Indépendante ?","INVEST : Négociable ?","INVEST : Valuable ?","INVEST : Estimable ?","INVEST : Small ?","INVEST : Testable ?","MOSCOW","POINTS (Fibonacci)","SPRINT CIBLE","CRITÈRES D'ACCEPTATION","STATUS"
"US-01","EPIC 1 — Authentification","Inscription par email","En tant qu'étudiant·e, je veux créer un compte avec mon email et un mot de passe afin d'accéder à ma plateforme de révision personnelle.","Oui — ne dépend d'aucune autre story","Oui — nombre de champs négociable","Oui — sans compte, aucune feature n'est accessible","Oui — estimée à 3 pts","Oui — tient en < 1 sprint","Oui — test automatisé possible","Must have","3","Sprint 1","1. Formulaire email + mdp (≥8 car.) · 2. Email de validation envoyé · 3. Erreur si email déjà utilisé · 4. Compte créé uniquement après validation email · 5. F1 validée PO","Done (kit)"
"US-02","EPIC 1 — Authentification","Connexion par email","En tant qu'étudiant·e, je veux me connecter avec mon email et mot de passe afin d'accéder à mon espace personnel sécurisé.","Oui","Oui — SSO Google optionnel en Could have","Oui — bloque l'accès à tout le reste","Oui — 2 pts","Oui","Oui","Must have","2","Sprint 1","1. Email + mdp corrects → token JWT · 2. Mauvais mdp → message d'erreur (pas d'info sur lequel est faux) · 3. Déconnexion supprime le token local · 4. Session persistée 24h","Done (kit)"
"US-03","EPIC 1 — Authentification","Réinitialisation mot de passe","En tant qu'étudiant·e, je veux réinitialiser mon mot de passe par email afin de ne pas être bloqué en cas d'oubli.","Oui","Oui","Oui — réduit le taux d'abandon","Oui — 2 pts","Oui","Oui","Should have","2","Sprint 1","1. Lien reset envoyé à l'email · 2. Lien expiré après 24h · 3. Nouveau mdp validé après confirmation · 4. Ancien mdp invalide après reset","Done (kit)"
"US-04","EPIC 2 — Profil utilisateur","Modifier son profil","En tant qu'étudiant·e, je veux modifier mon email, nom ou mot de passe afin de maintenir mes informations à jour.","Oui","Oui — champs négociables","Oui","Oui — 2 pts","Oui","Oui","Should have","2","Sprint 1","1. Formulaire pré-rempli avec données actuelles · 2. Validation unicité email · 3. Confirmation mdp actuel pour changer le mdp · 4. Toast de confirmation · 5. Données mises à jour en base","Done (kit)"
"US-05","EPIC 2 — Profil utilisateur","Supprimer son compte (RGPD)","En tant qu'étudiant·e, je veux supprimer définitivement mon compte afin d'exercer mon droit à l'effacement (RGPD Art. 17).","Oui","Non — obligation légale RGPD · non négociable","Oui — obligation légale","Oui — 2 pts","Oui","Oui","Should have","2","Sprint 4 (perturbation RGPD)","1. Bouton supprimer dans profil · 2. Confirmation texte à saisir · 3. Toutes les données user + quiz supprimées · 4. Déconnexion immédiate · 5. Email de confirmation suppression","Done (kit)"
"US-06","EPIC 3 — Saisie de cours","Saisir un cours en texte","En tant qu'étudiant·e, je veux coller mon cours sous forme de texte (≥200 car.) afin de générer un quiz sans avoir à convertir en PDF.","Oui","Oui — limite de caractères négociable","Oui — accès sans scanner ni PDF","Oui — 2 pts","Oui","Oui","Must have","2","Sprint 1","1. Zone de texte multiligne · 2. Compteur de caractères visible · 3. Erreur bloquante si < 200 car. · 4. Bouton Générer activé uniquement si ≥200 car. · 5. F2 validée PO","Done (kit)"
"US-07","EPIC 3 — Saisie de cours","Uploader un PDF de cours","En tant qu'étudiant·e, je veux uploader un fichier PDF de mon cours (≤5 Mo) afin de générer un quiz à partir de mes vraies notes de cours.","Oui","Oui — taille max négociable","Oui — cas d'usage principal des étudiants","Oui — 3 pts","Oui","Oui","Must have","3","Sprint 1","1. Bouton upload PDF · 2. Validation type MIME (application/pdf) · 3. Erreur si > 5 Mo · 4. Extraction texte réussie (pypdf) · 5. Texte extrait transmis au LLM · 6. F2 validée PO","Done (kit)"
"US-08","EPIC 4 — Quiz","Générer un quiz de 10 QCM","En tant qu'étudiant·e, je veux que le système génère automatiquement 10 QCM à partir de mon cours afin de réviser sans créer les questions moi-même.","Non — dépend US-06 ou US-07","Oui — nombre de questions négociable","Oui — cœur du produit","Oui — 5 pts (LLM + prompt)","Non — story centrale, peut être découpée","Oui — test mock LLM possible","Must have","5","Sprint 2-3","1. 10 questions générées · 2. Chaque question a 4 choix · 3. Une seule bonne réponse · 4. Questions ancrées dans le texte fourni · 5. Génération < 60 s (mock) ou < 120 s (Ollama) · 6. F3 validée PO","Done (kit)"
"US-09","EPIC 4 — Quiz","Passer un quiz","En tant qu'étudiant·e, je veux répondre aux 10 QCM afin de tester mes connaissances avant un examen.","Non — dépend US-08","Oui","Oui — sans passage le quiz n'a pas de valeur","Oui — 3 pts","Oui","Oui","Must have","3","Sprint 3","1. Affichage question par question ou tout en haut · 2. Une réponse sélectionnable par question · 3. Navigation avant/arrière · 4. Bouton Soumettre final · 5. Impossible de soumettre sans répondre à tout · 6. F4 validée PO","Done (kit)"
"US-10","EPIC 4 — Quiz","Voir son score sur 10","En tant qu'étudiant·e, je veux voir mon score sur 10 après soumission afin de connaître mon niveau sur ce chapitre.","Non — dépend US-09","Oui — affichage négociable","Oui — sans score le quiz ne motive pas","Oui — 2 pts","Oui","Oui","Must have","2","Sprint 3","1. Score /10 calculé et affiché immédiatement après soumission · 2. Calcul correct (1 pt par bonne réponse) · 3. Score persisté en base · 4. Affichage de la mention (Excellent/Bien/À améliorer) · 5. F5 validée PO","Done (kit)"
