APOCAL'IPSSI - ARTEFACT 7/7 - Sprint Backlog - EduTutor IA - Équipe-19 - v1.0 - Remis le 29/06/2026 12h55
"Décomposition technique du Sprint 1 d'EduTutor IA (Lundi 14h-18h)",,,,,,,,
,,,,,,,,
"Équipe 19 : Mathieu PONNOU · Ndiasse MBEGUERE · Ismael CEREZO · Philippe MAILLOT · Aboubacar COUMARE · Milane MEHALEBI · Rédacteur : Milane MEHALEBI",,,,,,,,
"Projet EduTutor IA · Édition 2026 · Semaine immersive Scrum",,,,,,,,
,,,,,,,,
"SPRINT GOAL : L'équipe dispose d'un environnement local fonctionnel · F1 (authentification email complète) validée par le PO · F2 (upload PDF + saisie texte) testée et bugs documentés sur GitHub Issues.",,,,,,,,
,,,,,,,,
"SPRINT","DURÉE","STORIES ENGAGÉES","POINTS ENGAGÉS","VÉLOCITÉ ESTIMÉE",,,,
"Sprint 1","4h (Lundi 14h-18h)","US-01 · US-02 · US-06 · US-07","10 pts","8-10 pts",,,,
,,,,,,,,
"TASK ID","USER STORY","TITRE TÂCHE","DESCRIPTION TECHNIQUE","TYPE","ASSIGNÉ À","ESTIMATION (min)","STATUT","DÉFINITION OF DONE"
"TASK-01","Setup","Forker le dépôt GitHub","Créer un fork du repo IPSSI_APOCAL_KIT dans le compte GitHub de l'équipe · nommer le repo equipe-19-edututor · inviter tous les membres en tant que Collaborators","Setup","Mathieu PONNOU","15","Fait ✅","✓ Repo forké · ✓ Tous les membres ont accès en write · ✓ README lisible sur GitHub"
"TASK-02","Setup","Cloner et configurer l'environnement","git clone du fork sur le poste de chaque membre · cp .env.example .env · vérifier les ports (3000 · 8000 · 5432 · 11434) disponibles · adapter .env si conflits","Setup","Tous","20","Fait ✅","✓ .env créé · ✓ Aucun port en conflit · ✓ Chaque membre a le repo en local"
"TASK-03","Setup","Lancer les conteneurs Docker","docker compose up -d · vérifier que les 4 services démarrent (backend · frontend · postgres · ollama) · docker ps pour confirmer · docker logs si erreur","Setup","Ndiasse MBEGUERE","20","Fait ✅<","✓ docker ps montre 4 conteneurs Running · ✓ http://localhost:3000 répond · ✓ http://localhost:8000/api/docs répond"
"TASK-04","Setup","Télécharger le modèle Ollama","make pull-model (ou docker exec apocalipssi-2026-ollama ollama pull llama3.1:8b) · prévoir ~5 min de téléchargement · vérifier avec ollama list","Setup","Ismael CEREZO","30","Fait ✅","✓ ollama list affiche llama3.1:8b · ✓ Taille ~4,9 Go confirmée · ✓ Pas d'erreur de réseau"
"TASK-05","Setup","Insérer les données de démo","make seed · vérifier la création du compte de test (test / motdepasse123) · vérifier que des quiz de démo sont visibles dans http://localhost:8000/admin/","Setup","Philippe MAILLOT","10","Fait ✅","✓ bootstrap_demo lancé automatiquement au démarrage · ✓ Comptes user@apocal.local · staff@apocal.local · admin@apocal.local créés · ✓ Quiz de démo présents"
"TASK-06","Setup","Créer le compte administrateur équipe","docker exec -it apocalipssi-2026-backend python manage.py createsuperuser · utiliser l'email de l'équipe · noter les credentials dans un fichier .passwords.local (gitignore)","Setup","Aboubacar COUMARE","10","À faire","✓ Compte superuser créé · ✓ Connexion sur http://localhost:8000/admin/ fonctionne · ✓ Credentials partagés sécurisé avec l'équipe"
"TASK-07","US-01 US-02","Tester le flux d'inscription complet","Naviguer vers /signup · saisir email + mdp · vérifier l'envoi de l'email de validation (docker logs apocalipssi-2026-backend --tail 50) · cliquer sur le lien · vérifier activation","Test","Ndiasse MBEGUERE","20","Fait ✅","✓ Compte créé et auto-login après inscription · ✓ Email de validation visible dans les logs backend · ✓ Connexion email+mdp fonctionnelle (US-01 US-02 validées le 29/06/2026)"
